157;Gemelli;Mercurio;6;Marte
158;Gemelli;Mercurio;7;Marte
159;Gemelli;Mercurio;8;Marte
160;Gemelli;Mercurio;9;Marte
161;Gemelli;Mercurio;10;Marte
162;Gemelli;Mercurio;1;Sole
163;Gemelli;Mercurio;2;Sole
164;Gemelli;Mercurio;3;Sole
165;Gemelli;Mercurio;4;Sole
166;Gemelli;Mercurio;5;Sole
167;Gemelli;Mercurio;6;Sole
168;Gemelli;Mercurio;7;Sole
169;Gemelli;Mercurio;8;Sole
170;Gemelli;Mercurio;9;Sole
171;Gemelli;Mercurio;10;Sole
172;Gemelli;Mercurio;11;Sole
173;Gemelli;Mercurio;12;Sole
174;Cancro;Luna;1;Venere
175;Cancro;Luna;2;Venere
176;Cancro;Luna;3;Venere
177;Cancro;Luna;4;Venere
178;Cancro;Luna;5;Venere
179;Cancro;Luna;6;Venere
180;Cancro;Luna;7;Venere
181;Cancro;Luna;8;Venere
182;Cancro;Luna;9;Venere
183;Cancro;Luna;10;Venere
184;Cancro;Luna;1;Mercurio
185;Cancro;Luna;2;Mercurio
186;Cancro;Luna;3;Mercurio
187;Cancro;Luna;4;Mercurio
188;Cancro;Luna;5;Mercurio
189;Cancro;Luna;6;Mercurio
190;Cancro;Luna;7;Mercurio
191;Cancro;Luna;8;Mercurio
192;Cancro;Luna;9;Mercurio
193;Cancro;Luna;10;Mercurio
194;Cancro;Luna;1;Luna
195;Cancro;Luna;2;Luna
196;Cancro;Luna;3;Luna
197;Cancro;Luna;4;Luna
198;Cancro;Luna;5;Luna
199;Cancro;Luna;6;Luna
200;Cancro;Luna;7;Luna
201;Cancro;Luna;8;Luna
202;Cancro;Luna;9;Luna
203;Cancro;Luna;10;Luna
204;Cancro;Luna;11;Luna
205;Cancro;Luna;12;Luna
206;Leone;Sole;1;Saturno
207;Leone;Sole;2;Saturno
208;Leone;Sole;3;Saturno
209;Leone;Sole;4;Saturno
210;Leone;Sole;5;Saturno
211;Leone;Sole;6;Saturno
212;Leone;Sole;7;Saturno
213;Leone;Sole;8;Saturno
214;Leone;Sole;9;Saturno
215;Leone;Sole;10;Saturno
216;Leone;Sole;1;Giove
217;Leone;Sole;2;Giove
218;Leone;Sole;3;Giove
219;Leone;Sole;4;Giove
220;Leone;Sole;5;Giove
221;Leone;Sole;6;Giove
222;Leone;Sole;7;Giove
223;Leone;Sole;8;Giove
224;Leone;Sole;9;Giove
225;Leone;Sole;10;Giove
226;Leone;Sole;1;Marte
227;Leone;Sole;2;Marte
228;Leone;Sole;3;Marte
229;Leone;Sole;4;Marte
230;Leone;Sole;5;Marte
231;Leone;Sole;6;Marte
232;Leone;Sole;7;Marte
233;Leone;Sole;8;Marte
234;Leone;Sole;9;Marte
235;Leone;Sole;10;Marte
236;Leone;Sole;11;Marte
